latitude,longitude,weight,type
41.90892,-87.7551,933,trauma
41.91392,-87.7551,997,trauma
41.91892,-87.7551,1048,trauma
41.92392,-87.7551,1067,trauma
41.92892,-87.7551,1164,trauma
41.93392,-87.7551,1195,trauma
41.93892,-87.7551,1110,trauma
41.94392,-87.7551,1232,trauma
41.94892,-87.7551,1141,trauma
41.95392,-87.7551,1117,trauma
41.95892,-87.7551,1049,trauma
41.96392,-87.7551,1060,trauma
41.96892,-87.7551,1052,trauma
41.97392,-87.7551,1089,trauma
41.97892,-87.7551,1135,trauma
41.98392,-87.7551,1221,trauma
41.98892,-87.7551,1196,trauma
41.99392,-87.7551,1218,trauma
41.77892,-87.7501,1123,trauma
41.78392,-87.7501,1159,trauma
41.78892,-87.7501,1018,trauma
41.79392,-87.7501,1030,trauma
41.79892,-87.7501,882,trauma
41.80392,-87.7501,816,trauma
41.80892,-87.7501,801,trauma
41.81392,-87.7501,599,trauma
41.86892,-87.7501,457,trauma
41.87392,-87.7501,516,trauma
41.87892,-87.7501,514,trauma
41.88392,-87.7501,565,trauma
41.88892,-87.7501,655,trauma
41.89392,-87.7501,713,trauma
41.89892,-87.7501,778,trauma
41.90392,-87.7501,824,trauma
41.90892,-87.7501,889,trauma
41.91392,-87.7501,956,trauma
41.91892,-87.7501,1028,trauma
41.92392,-87.7501,1047,trauma
41.92892,-87.7501,1143,trauma
41.93392,-87.7501,1186,trauma
41.93892,-87.7501,1065,trauma
41.94392,-87.7501,1187,trauma
41.94892,-87.7501,1199,trauma
41.95392,-87.7501,1040,trauma
41.95892,-87.7501,988,trauma
41.96392,-87.7501,931,trauma
41.96892,-87.7501,1036,trauma
41.97392,-87.7501,1011,trauma
41.97892,-87.7501,1115,trauma
41.98392,-87.7501,1047,trauma
41.98892,-87.7501,1194,trauma
41.99392,-87.7501,1222,trauma
41.77892,-87.7451,1170,trauma
41.78392,-87.7451,1187,trauma
41.78892,-87.7451,1125,trauma
41.79392,-87.7451,1060,trauma
41.79892,-87.7451,840,trauma
41.80392,-87.7451,790,trauma
41.80892,-87.7451,730,trauma
41.81392,-87.7451,641,trauma
41.86892,-87.7451,407,trauma
41.87392,-87.7451,391,trauma
