latitude,longitude,weight,type
41.92392,-87.7601,1112,potential
41.92892,-87.7601,1178,potential
41.93392,-87.7601,1268,potential
41.93892,-87.7601,1199,potential
41.94392,-87.7601,1253,potential
41.94892,-87.7601,1165,potential
41.95392,-87.7601,1120,potential
41.95892,-87.7601,1096,potential
41.96392,-87.7601,1126,potential
41.96892,-87.7601,1018,potential
41.97392,-87.7601,1138,potential
41.97892,-87.7601,1149,potential
41.98392,-87.7601,1337,potential
41.98892,-87.7601,1180,potential
41.99392,-87.7601,1184,potential
41.99892,-87.7601,1274,potential
41.77892,-87.7551,1107,potential
41.78392,-87.7551,1000,potential
41.78892,-87.7551,1007,potential
41.79392,-87.7551,960,potential
41.79892,-87.7551,921,potential
41.86892,-87.7551,368,potential
41.87392,-87.7551,558,potential
41.87892,-87.7551,539,potential
41.88392,-87.7551,585,potential
41.88892,-87.7551,633,potential
41.89392,-87.7551,740,potential
41.89892,-87.7551,798,potential
41.90392,-87.7551,870,potential
41.90892,-87.7551,933,potential
41.91392,-87.7551,997,potential
41.91892,-87.7551,1048,potential
41.92392,-87.7551,1067,potential
41.92892,-87.7551,1164,potential
41.93392,-87.7551,1195,potential
41.93892,-87.7551,1110,potential
41.94392,-87.7551,1232,potential
41.94892,-87.7551,1141,potential
41.95392,-87.7551,1117,potential
41.95892,-87.7551,1049,potential
41.96392,-87.7551,1060,potential
41.96892,-87.7551,1052,potential
41.97392,-87.7551,1089,potential
41.97892,-87.7551,1135,potential
41.98392,-87.7551,1221,potential
41.98892,-87.7551,1196,potential
41.99392,-87.7551,1218,potential
41.77892,-87.7501,1123,potential
41.78392,-87.7501,1159,potential
41.78892,-87.7501,1018,potential
41.79392,-87.7501,1030,potential
41.79892,-87.7501,882,potential
41.80392,-87.7501,816,potential
41.80892,-87.7501,801,potential
41.81392,-87.7501,599,potential
41.86892,-87.7501,457,potential
41.87392,-87.7501,516,potential
41.87892,-87.7501,514,potential
41.88392,-87.7501,565,potential
41.88892,-87.7501,655,potential
41.89392,-87.7501,713,potential
41.89892,-87.7501,778,potential
41.90392,-87.7501,824,potential
41.90892,-87.7501,889,potential
41.91392,-87.7501,956,potential
41.91892,-87.7501,1028,potential
41.92392,-87.7501,1047,potential
41.92892,-87.7501,1143,potential
41.93392,-87.7501,1186,potential
41.93892,-87.7501,1065,potential
41.94392,-87.7501,1187,potential
41.94892,-87.7501,1199,potential
41.95392,-87.7501,1040,potential
41.95892,-87.7501,988,potential
41.96392,-87.7501,931,potential
41.96892,-87.7501,1036,potential
41.97392,-87.7501,1011,potential
41.97892,-87.7501,1115,potential
41.98392,-87.7501,1047,potential
41.98892,-87.7501,1194,potential
41.99392,-87.7501,1222,potential
41.77892,-87.7451,1170,potential
41.78392,-87.7451,1187,potential
41.78892,-87.7451,1125,potential
41.79392,-87.7451,1060,potential
41.79892,-87.7451,840,potential
41.80392,-87.7451,790,potential
41.80892,-87.7451,730,potential
41.81392,-87.7451,641,potential
41.86892,-87.7451,407,potential
41.87392,-87.7451,391,potential
41.87892,-87.7451,443,potential
41.88392,-87.7451,516,potential
41.88892,-87.7451,612,potential
41.89392,-87.7451,652,potential
41.89892,-87.7451,695,potential
41.90392,-87.7451,890,potential
41.90892,-87.7451,933,potential
41.91392,-87.7451,875,potential
41.91892,-87.7451,1012,potential
41.92392,-87.7451,1056,potential
41.92892,-87.7451,1085,potential
41.93392,-87.7451,1087,potential
41.93892,-87.7451,1009,potential
41.94392,-87.7451,1117,potential
41.94892,-87.7451,1038,potential
41.95392,-87.7451,1027,potential
41.95892,-87.7451,939,potential
41.96392,-87.7451,970,potential
41.96892,-87.7451,1021,potential
41.97392,-87.7451,1126,potential
41.97892,-87.7451,1176,potential
41.98392,-87.7451,1314,potential
41.98892,-87.7451,1251,potential
41.99392,-87.7451,1226,potential
41.73892,-87.7401,1445,potential
41.74392,-87.7401,1405,potential
41.74892,-87.7401,1389,potential
41.75392,-87.7401,1288,potential
41.75892,-87.7401,1205,potential
41.76392,-87.7401,1151,potential
41.76892,-87.7401,1264,potential
41.77392,-87.7401,1127,potential
41.77892,-87.7401,1085,potential
41.78392,-87.7401,1049,potential
41.78892,-87.7401,1043,potential
41.79392,-87.7401,910,potential
41.79892,-87.7401,839,potential
41.80392,-87.7401,797,potential
41.80892,-87.7401,718,potential
41.81392,-87.7401,654,potential
41.81892,-87.7401,630,potential
41.86892,-87.7401,373,potential
41.87392,-87.7401,409,potential
41.87892,-87.7401,440,potential
41.88392,-87.7401,508,potential
41.88892,-87.7401,545,potential
41.89392,-87.7401,586,potential
41.89892,-87.7401,778,potential
41.90392,-87.7401,742,potential
41.90892,-87.7401,893,potential
41.91392,-87.7401,921,potential
41.91892,-87.7401,1051,potential
41.92392,-87.7401,989,potential
41.92892,-87.7401,1071,potential
41.93392,-87.7401,1043,potential
41.93892,-87.7401,970,potential
41.94392,-87.7401,1054,potential
41.94892,-87.7401,991,potential
41.95392,-87.7401,931,potential
41.95892,-87.7401,764,potential
41.96392,-87.7401,978,potential
41.96892,-87.7401,1151,potential
41.97392,-87.7401,1124,potential
41.97892,-87.7401,1377,potential
41.98392,-87.7401,1317,potential
41.98892,-87.7401,1325,potential
41.99392,-87.7401,1164,potential
41.68392,-87.7351,1468,potential
41.68892,-87.7351,1580,potential
41.73892,-87.7351,1488,potential
41.74392,-87.7351,1466,potential
41.74892,-87.7351,1404,potential
41.75392,-87.7351,1342,potential
41.75892,-87.7351,1349,potential
41.76392,-87.7351,1233,potential
41.76892,-87.7351,1225,potential
41.77392,-87.7351,1178,potential
41.77892,-87.7351,1124,potential
41.78392,-87.7351,1038,potential
41.78892,-87.7351,988,potential
41.79392,-87.7351,950,potential
41.79892,-87.7351,878,potential
41.80392,-87.7351,813,potential
41.80892,-87.7351,795,potential
41.81392,-87.7351,723,potential
41.81892,-87.7351,523,potential
41.82392,-87.7351,750,potential
41.82892,-87.7351,714,potential
41.83392,-87.7351,602,potential
41.83892,-87.7351,556,potential
41.84392,-87.7351,462,potential
41.84892,-87.7351,450,potential
41.85392,-87.7351,432,potential
41.85892,-87.7351,418,potential
41.86392,-87.7351,385,potential
41.86892,-87.7351,332,potential
41.87392,-87.7351,298,potential
41.87892,-87.7351,453,potential
41.88392,-87.7351,438,potential
41.88892,-87.7351,564,potential
41.89392,-87.7351,645,potential
41.89892,-87.7351,731,potential
41.90392,-87.7351,780,potential
41.90892,-87.7351,877,potential
41.91392,-87.7351,1002,potential
41.91892,-87.7351,1004,potential
41.92392,-87.7351,991,potential
41.92892,-87.7351,1019,potential
41.93392,-87.7351,1000,potential
41.93892,-87.7351,931,potential
41.94392,-87.7351,1001,potential
41.94892,-87.7351,929,potential
41.95392,-87.7351,913,potential
41.95892,-87.7351,909,potential
41.96392,-87.7351,987,potential
41.96892,-87.7351,1204,potential
41.97392,-87.7351,1146,potential
41.97892,-87.7351,1316,potential
41.98392,-87.7351,1311,potential
41.98892,-87.7351,1343,potential
41.99392,-87.7351,1353,potential
41.68392,-87.7301,1477,potential
41.68892,-87.7301,1659,potential
41.73892,-87.7301,1495,potential
41.74392,-87.7301,1438,potential
41.74892,-87.7301,1376,potential
41.75392,-87.7301,1310,potential
41.75892,-87.7301,1329,potential
41.76392,-87.7301,1218,potential
41.76892,-87.7301,1205,potential
41.77392,-87.7301,1151,potential
41.77892,-87.7301,1084,potential
41.78392,-87.7301,1016,potential
41.78892,-87.7301,1008,potential
41.79392,-87.7301,947,potential
41.79892,-87.7301,834,potential
41.80392,-87.7301,801,potential
41.80892,-87.7301,766,potential
41.81392,-87.7301,692,potential
41.81892,-87.7301,652,potential
41.82392,-87.7301,711,potential
41.82892,-87.7301,677,potential
41.83392,-87.7301,623,potential
41.83892,-87.7301,556,potential
41.84392,-87.7301,459,potential
41.84892,-87.7301,360,potential
41.85392,-87.7301,430,potential
41.85892,-87.7301,376,potential
41.86392,-87.7301,431,potential
41.86892,-87.7301,409,potential
41.87392,-87.7301,340,potential
41.87892,-87.7301,429,potential
41.88392,-87.7301,527,potential
41.88892,-87.7301,636,potential
41.89392,-87.7301,599,potential
41.89892,-87.7301,684,potential
41.90392,-87.7301,717,potential
41.90892,-87.7301,831,potential
41.91392,-87.7301,921,potential
41.91892,-87.7301,999,potential
41.92392,-87.7301,938,potential
41.92892,-87.7301,912,potential
41.93392,-87.7301,999,potential
41.93892,-87.7301,883,potential
41.94392,-87.7301,945,potential
41.94892,-87.7301,968,potential
41.95392,-87.7301,1005,potential
41.95892,-87.7301,932,potential
41.96392,-87.7301,1058,potential
41.96892,-87.7301,1125,potential
41.97392,-87.7301,1173,potential
41.97892,-87.7301,1272,potential
41.98392,-87.7301,1281,potential
41.98892,-87.7301,1329,potential
41.99392,-87.7301,1365,potential
41.68392,-87.7251,1513,potential
41.68892,-87.7251,1580,potential
41.73892,-87.7251,1453,potential
41.74392,-87.7251,1428,potential
41.74892,-87.7251,1346,potential
41.75392,-87.7251,1330,potential
41.75892,-87.7251,1239,potential
41.76392,-87.7251,1184,potential
41.76892,-87.7251,1149,potential
41.77392,-87.7251,1105,potential
41.77892,-87.7251,1042,potential
41.78392,-87.7251,963,potential
41.78892,-87.7251,925,potential
41.79392,-87.7251,903,potential
41.79892,-87.7251,932,potential
41.80392,-87.7251,763,potential
41.80892,-87.7251,707,potential
41.81392,-87.7251,624,potential
41.81892,-87.7251,595,potential
41.82392,-87.7251,511,potential
41.82892,-87.7251,634,potential
41.83392,-87.7251,568,potential
41.83892,-87.7251,472,potential
41.84392,-87.7251,401,potential
41.84892,-87.7251,337,potential
41.85392,-87.7251,342,potential
41.85892,-87.7251,330,potential
41.86392,-87.7251,356,potential
41.86892,-87.7251,328,potential
41.87392,-87.7251,237,potential
41.87892,-87.7251,395,potential
41.88392,-87.7251,459,potential
41.88892,-87.7251,540,potential
41.89392,-87.7251,574,potential
41.89892,-87.7251,635,potential
41.90392,-87.7251,682,potential
41.90892,-87.7251,771,potential
41.91392,-87.7251,884,potential
41.91892,-87.7251,919,potential
41.92392,-87.7251,885,potential
